antonovaetal2010a	antonovaetal2011a

ОАНҌХЕСЬ КЫРРЬЙ	Оанҍхэсь кыррьй	
#	#	
Кыррьй вэ̄зхалл Рӯшш-е̄ммьне са̄мь кӣл туй я пыянт, ко̄ххт пэря вуаннче пайнэ кӣл.	Кыррьй вэ̄зхалл Рӯшш-е̄ммьне са̄мь кӣл туй я пыянт, ко̄ххт пэря вуаннче пайнэ кӣл.	
Та̄рьм Куэлнэгк нёарк соа̄ме пугк не̄лльй кӣл ле̄в вэсьт ка̄дтмэдтӭ я кӣлоаннӭй выйтнэв са̄мь кӣлэсьт рӯшш кӣлле.	Та̄рьм Куэлнэгк нёарк соа̄ме пугк не̄лльй кӣл ле̄в вэсьт ка̄дтмэдтӭ я кӣлоаннӭй выйтнэв са̄мь кӣлэсьт рӯшш кӣлле.	
Кӣлт, таррьй я нюхьт-я̄вьр кӣл вэсьтэ вя̄л о̄ннъюввэв.	Кӣлт, таррьй я нюхьт-я̄вьр кӣл вэсьтэ вя̄л о̄ннъюввэв.	
Ахькэль (А̄кьявьр) кӣлл, вуайй це̄ӆӆьке, ка̄дэ, ноа ле̄в вял о̄ллмэ, ке̄сьт кӯдтъенҍ тэнн кӣл ре̄яс те̄д.	Ахькэль (А̄кьявьр) кӣлл, вуайй це̄ӆӆьке, ка̄дэ, ноа ле̄в вял о̄ллмэ, ке̄сьт кӯдтъенҍ тэнн кӣл ре̄яс те̄д.	
Таввялсамь кӣлл, ку пӯдӭ Рӯшш-е̄ммьнье 199О ыгенҍ, коаппч е̄на я е̄на со̄н оаннҍет, ко̄ххт Скандинавиясьт, ныдтҍ э Куэлнэгк нёаркэсьт.	Таввялсамь кӣлл, ку пӯдӭ Рӯшш-е̄ммьнье 199О ыгенҍ, коаппч е̄на я е̄на со̄н оаннҍет, ко̄ххт Скандинавиясьт, ныдтҍ э Куэлнэгк нёаркэсьт.	
Ко̄нн гоарренҍ ель вэльшэхьт тэнн э̄л, ноа кӣлт соа̄ме кӣл пайнэмушш пай эвтэс манн.	Ко̄нн гоарренҍ ель вэльшэхьт тэнн э̄л, ноа кӣлт соа̄ме кӣл пайнэмушш пай эвтэс манн.	
#	#	
Та̄ррьм, кӯсстай, альт 8ОО о̄ллмэнҍ Рӯшш-е̄ммьнесьт лев те̄д са̄мь кӣл баяс.	Та̄ррьм, кӯсстай, альт 8ОО о̄ллмэнҍ Рӯшш-е̄ммьнесьт лев те̄д са̄мь кӣл баяс.	
Сӣнэнҍ, вуайй пыйнӭ, 2ОО о̄ллмэдтӭ вуайй коаххче «потенциальнэ кӣл оаннҍегуэйм».	Сӣнэнҍ, вуайй пыйнӭ, 2ОО о̄ллмэдтӭ вуайй коаххче «потенциальнэ кӣл оаннҍегуэйм».	
Сӣнэнҍ ле̄в кӣл шӣг ре̄яс те̄д: сыйй оа̄нтшэв пугк лубэ е̄ннэ, е̄ннэ сыйе ма̄ххьтэв са̄ррнэ са̄мь кӣлле, ноа югке рэ̄зэ гуэйке сыйй ев са̄рн ка̄йнханна, ва̄ймленне лубэ во̄фьсе ев са̄рн.	Сӣнэнҍ ле̄в кӣл шӣг ре̄яс те̄д: сыйй оа̄нтшэв пугк лубэ е̄ннэ, е̄ннэ сыйе ма̄ххьтэв са̄ррнэ са̄мь кӣлле, ноа югке рэ̄зэ гуэйке сыйй ев са̄рн ка̄йнханна, ва̄ймленне лубэ во̄фьсе ев са̄рн.	
Рӯшш-е̄ммьнесьт та̄рьм ва̄нӓ 1ОО ва̄ймлэсь са̄мь кӣл оаннҍедтӭ е̄ллев.	Рӯшш-е̄ммьнесьт та̄рьм ва̄нӓ 1ОО ва̄ймлэсь са̄мь кӣл оаннҍедтӭ е̄ллев.	
Са̄мас ва̄ймлесь са̄ррнъедтӭ, вуайй це̄ӆӆьке, лев о̄ллмэ, кугк пуэраст я ва̄ллтъенне са̄ррнэв ӣжесь кӣлле ко̄ххт авьтма кӣлле, ныдтҍ э нымьп кӣлле, я кугк оаннӭв са̄мь кӣл югке пе̄йв я югке саесьт.	Са̄мас ва̄ймлесь са̄ррнъедтӭ, вуайй це̄ӆӆьке, лев о̄ллмэ, кугк пуэраст я ва̄ллтъенне са̄ррнэв ӣжесь кӣлле ко̄ххт авьтма кӣлле, ныдтҍ э нымьп кӣлле, я кугк оаннӭв са̄мь кӣл югке пе̄йв я югке саесьт.	
#	#	
Са̄мь кӣлл тоа̄ййв о̄ннъювв вэ̄зхэллэм (символическэ) кӣлэнҍ, ва̄лльтэ, вӯзьхемь гуэйке, манҍтэ олма ли – са̄мь вай мудта.	Са̄мь кӣлл тоа̄ййв о̄ннъювв вэ̄зхэллэм (символическэ) кӣлэнҍ, ва̄лльтэ, вӯзьхемь гуэйке, манҍтэ олма ли – са̄мь вай мудта.	
Ныдтҍшэ вэ̄зхэллэм кӣл о̄нньювв э̄ххтса са̄мь я̄лэсьт, лубэ, го «шоу кӣлл» вэ̄зхалл ӣжесь о̄ллмэ культура.	Ныдтҍшэ вэ̄зхэллэм кӣл о̄нньювв э̄ххтса са̄мь я̄лэсьт, лубэ, го «шоу кӣлл» вэ̄зхалл ӣжесь о̄ллмэ культура.	
